타하,65,191
가자,65,166
자하,75,187
다가,45,197
라아,77,141
가아,59,182
하마,72,174
하파,88,178
사차,90,180
라파,67,175
가하,66,149
바타,57,158
파타,91,185
파사,95,167
나다,82,152
파하,63,163
하아,79,193
다사,68,155
파라,64,150
마하,75,178
카다,72,153
카다,77,171
나자,89,154
하차,97,160
바하,85,168
라바,94,160
사가,64,169
마가,55,146
타마,94,196
카파,89,182
사가,67,143
아다,96,149
다가,55,178
아타,64,150
카카,44,163
카카,98,160
카자,61,168
바하,44,176
마다,68,141
라라,59,154
라마,64,148
다다,49,192
하타,42,150
사가,86,178
마자,60,179
하라,65,158
마바,90,168
하하,46,148
아바,40,164
나자,58,160
사하,89,182
마타,68,141
하타,73,197
차타,62,163
다나,66,181
타마,94,178
마가,83,157
차사,97,186
나바,95,191
파차,98,161
바타,71,175
다라,89,171
나라,56,188
나마,98,193
자다,97,163
마아,48,191
사카,58,195
가아,71,160
나바,73,143
파타,72,158
아파,65,180
카자,53,140
타바,72,192
자다,79,181
카파,42,161
라차,77,161
자나,99,172
마파,88,167
자하,89,163
파차,67,191
타마,40,195
바자,98,140
바자,53,189
파나,44,146
바자,58,195
바마,71,148
카사,95,168
타타,98,174
마사,44,179
사나,99,173
사가,71,151
마나,48,146
나바,41,181
라타,66,166
하자,64,157
카타,97,145
사라,81,185
나바,98,173
마다,64,157
파파,95,185
타마,42,194
파라,53,188
나바,86,167
카마,87,172
다다,94,149
라차,65,192
나마,43,149
바가,56,147
다차,81,155
타아,68,140
마차,74,157
아카,43,157
타다,42,181
마타,93,153
자하,41,187
사가,95,194
아마,61,140
라타,65,183
가하,66,190
타자,80,148
가차,99,143
카사,94,190
사차,95,196
가가,81,160
다가,98,167
자마,55,151
파아,68,147
자라,59,170
가나,65,167
타차,94,149
하자,61,162
사사,49,158
차사,45,168
타카,54,160
자차,70,191
파바,89,142
파라,87,163
차바,77,166
라나,40,158
카바,65,151
차라,80,190
마타,60,156
라라,91,156
바라,98,190
하다,41,195
마하,49,177
파나,58,148
하자,74,182
카타,42,149
가마,58,193
사가,98,174
사차,97,182
사자,76,147
카카,40,191
차하,67,166
차바,69,151
카하,58,161
라차,72,148
사하,93,196
다하,62,154
나다,61,168
아하,81,193
다마,63,185
아라,56,188
사사,87,147
카자,97,164
자라,86,180
마카,62,166
다차,92,189
라타,42,158
차타,88,198
파바,43,176
차사,65,155
나아,80,165
타나,61,158
바바,89,172
타자,45,156
마하,49,191
바가,58,168
자마,72,182
바타,69,187
가라,40,153
차아,58,146
다나,68,181
타아,82,152
아바,98,176
마가,76,171
다나,44,159
자카,78,182
카파,89,156
자마,82,199
자마,43,147
마카,80,172
타라,48,186
사라,43,198
다카,77,144
아가,82,161
바마,62,167
아나,54,141
마라,75,168
차카,80,156
아카,88,140
타아,91,192
파가,64,181
가카,92,181
다가,68,145
가카,65,160
나마,66,197
카타,52,161
라아,94,184
마바,90,141
바타,68,189
가차,82,144
바다,69,170
가바,63,157
다자,86,148
하카,79,173
파하,75,172
바차,88,181
가자,95,152
아차,96,180
사사,49,186
파타,52,151
나라,56,192
카자,83,174
